Id,Número do Processo,Contrato,Empresa,Objeto,Valor do Contrato,Natureza do Contrato,Início da Vigência,Término da Vigência,Prazo Restante,Portaria de Fiscalização,Gestor do Contrato,Gestor do Contrato Substituto ,Fiscal Técnico,Fiscal Técnico Substituto,Fiscal Administrativo,Fiscal Administrativo Substituto,Dias para Vencimento,Status do Prazo
1,01350.001998/2018-90,25/2018,Ágil Empresa de Vigilância Ltda,Prestação de serviços terceirizados de vigilância,400690.8,Continuado com dedicação exclusiva de mão de obra,2018-12-30,2024-12-30,-142,"1326, de 30 novembro de 2023",Antonio Cristovão dos Santos,,Clemilton Pereira da Silva,Marcos Vinícius Almeida Cruvinel,Francisco de Carvalho Dias,Valeria Sousa de Negreiros,-294.0,Contrato Vencido
2,01350.001347/2023-67,,Água Mineral Prime Eireli Epp,Fornecimento de água mineral,3996.0,Material de consumo,2024-01-11,2025-01-10,-143,"1375, de 16 de janeiro de 2024",Valéria Sousa de Negreiros,Higor Thales Rocha Lopes,Marcos Vinícius Almeida Cruvinel,Francisco de Carvalho Dias,,,-283.0,Contrato Vencido
3,01350.000931/2023-03,34/2023,Claro S.A,Prestação de serviço móvel pessoal,103651.58,Continuado,2023-11-03,2026-05-03,347,"1350, de 01 de dezembro de 2023",Marcos Vinícius Almeida Cruvinel,Clemilton Pereira da Silva,Francisco de Carvalho Dias,Antonio Cristovão dos Santos,,,195.0,Contrato Dentro do Prazo Esperado
4,01350.000387/2023-91,9912625217,Empresa Brasiliera de Correios e Telegrafos,Serviços e venda de produtos,30000.0,Continuado sem dedicação exclusiva de mão de obra,2024-10-10,2025-10-10,142,"1347, de 01 de dezembro de 2023",Marcos Vinícius Almeida Cruvinel,Clemilton Pereira da Silva,Francisco de Carvalho Dias,Antonio Cristovão dos Santos,,,-10.0,Contrato Vencido
5, 01350.001495/2023-81,,Gente Seguradora S.A,Serviços de seguro veicular,2066.66,Continuado sem dedicação exclusiva de mão de obra,2024-02-01,2025-02-01,-143,"1412, de 18 de dezembro de 2023",Antonio Cristovão dos Santos,Adriana Elysa Alimandro Corrêa,Marcos Vinícius Almeida Cruvinel,Clemilton Pereira da Silva,,,-261.0,Contrato Vencido
6,01350.002000/2020-99,3/2021,Investcar Veículos Ltda,Serviços contínuos de locação de veículo de representação,271212.39,Continuado com dedicação exclusiva de mão de obra,2025-03-13,2026-03-12,295,"1332, de 30 de novembro de 2023",Clemilton Pereira da Silva,Valeria Sousa de Negreiros,Marcos Vinícius Almeida Cruvinel,Francisco de Carvalho Dias,,,143.0,Contrato Dentro do Prazo Esperado
7,01350.002430/2019-77,4/2020,Money Turismo Eireli Epp,Emissão de passagens aéreas nacioansi e internacionais,1568500.65,Continuado,2025-03-17,2025-09-16,118,"1333, de 30 de novembro de 2023",Clemilton Pereira da Silva,Antonio Cristovão dos Santos,Marcos Vinícius Almeida Cruvinel,Francisco de Carvalho Dias,,,-34.0,Contrato Vencido
8,01350.000009/2023-16,11/2023,N3 Distribuição de Suprimentos Ltda,Aquisição de materiais de copa,117891.84,Material de consumo,2023-05-24,2024-05-24,-143,"1334, de 30 de novembro de 2023",Marcos Vinícius Almeida Cruvinel,Clemilton Pereira da Silva,Valéria Sousa de Negreiros,Francisco de Carvalho Dias,,,-514.0,Contrato Vencido
9,01350.000456/2022-86,9/2022,Prime Consultoria e Assessoria Empresarial Ltda,Fornecimento de combustível,93692.6,Material de consumo,2024-06-07,2025-06-06,16,"1335, de 30 de novembro de 2023",Clemilton Pereira da Silva,Antonio Cristovão dos Santos,Marcos Vinícius Almeida Cruvinel,Francisco de Carvalho Dias,,,-136.0,Contrato Vencido
10,01350.000342/2021-55,18/2021,Rei de Ouro Mudanças e Transportes Eireli Epp,Transporte mobiliário,283090.3,Continuado sem dedicação exclusiva de mão de obra,2024-08-25,2025-08-24,95,"1640, de 11 de dezembro DE 2024",Fernando Silva de Souza,Marcos Vinícius Almeida Cruvinel,Clemilton Pereira da Silva,Francisco de Carvalho Dias,,,-57.0,Contrato Vencido
11,01350.002176/2019-15,9/2019,Vip Service Club Locadora e Serviços Ltda,Táxi Gov,122567.27,Continuado sem dedicação exclusiva de mão de obra,2024-10-14,2025-10-14,146,"1541, de 25 de julho de  2024",Clemilton Pereira da Silva,Marcos Vinícius Almeida Cruvinel,Fernando Silva de Souza,Francisco de Carvalho Dias,,,-6.0,Contrato Vencido
12,01350.000821/2022-52,17/2022,Advance System Elevadores LTDA.,Manutenção técnica de elevadores,22175.95,Continuado sem dedicação exclusiva de mão de obra,2024-09-07,2025-09-06,108,"1642, de 11 de dezembro de 2024",Clemilton Pereira da Silva,Fernando Silva de Souza,Francisco de Carvalho Dias,Sonia Maria Ferreira dos Santos,,,-44.0,Contrato Vencido
13,01350.001311/2024-64,,Calevi Mineradora e Comercio LTDA.,Fornecimento de água mineral,4442.4,Material de consumo,2025-02-04,2026-02-03,258,"1682, de 10 de fevereiro DE 2025",Fernando Silva de Souza,Marcos Vinícius Almeida Cruvinel,Sonia Maria Ferreira dos Santos,Francisco de Carvalho Dias,,,106.0,Contrato Próximo do Vencimento
14,01350.000387/2023-91,08/2024,Nara Comercial de Alimentos LTDA.,Aquisição de materiais de copa,104652.56,Material de consumo,2024-07-05,2025-07-05,45,"1646, de 12 de dezembro DE 2024",Fernando Silva de Souza,Clemilton Pereira da Silva,Sonia Maria Ferreira dos Santos,Francisco de Carvalho Dias,,,-107.0,Contrato Vencido
